idstatementnav,Fund_full_Name,Date,StatementOfNav,Investments,ListedSecurities,RegisteredEquities,IpoInvestment,GovernmentBonds,CorporateDebentures,OtherGovernmentSecurities,BankFixedDeposits,OtherInvestments,CurrentAssets,BankBalance,OtherCurrentAssets,CurrentLiabilities,NetAssetValueGross,FundManagementAndDepositoryFee1,FundSupervisorFee1,NetAssetValue,UnitsOutstanding,NavPerUnit,IncomeStatement,Income,RealisedIncome,UnrealisedIncome,Expenses,PreoperatingExpenses,NoticePublicationFee,AuditFee,FundManagementAndDepositaryFee2,FundSupervisorFee2,OtherExpenses,NetIncome,Ticker
862,NMB 50,4/13/2021,0,1770351.966,1371209.194,60685.075,0,155957.697,0,0,182500,0,437247.701,430487.511,6760.19,1669.073,2205930.594,8745.948,514.467,2196670.179,125000,17.5734,0,919424.431,403198.811,516225.62,23101.749,0,0,169.5,21347.198,1255.717,329.334,896322.682,NMB50
863,Siddhartha Investment Growth Scheme-2,4/13/2021,0,1395571.73,1259743.972,56891.914,0,38935.844,0,0,40000,0,697284.791,696123.724,1161.067,8637.041,2084219.48,0,0,2084219.48,120000,17.3685,0,836814.552,375153.43,461661.122,21983.161,0,208.881,63.156,20675.188,835.936,200,814831.391,SIGS2
864,Siddhartha Equity Fund,4/13/2021,0,1733503.312,1514863.697,75647.615,0,62992,0,0,80000,0,825314.409,823238.217,2076.192,10597.396,2548220.325,0,0,2548220.325,150000,16.9881,0,1032625.463,451001.419,581624.044,27242.127,0,203.814,63.156,25733.177,1041.98,200,1005383.336,SEF
865,Kumari Equity Fund,4/13/2021,0,549546.629,373699.838,0,16609.791,0,9237,0,150000,0,483162.865,483082.626,80.239,6458.511,1026250.983,0,0,1026250.983,100000,10.2625,0,30851.682,1142.901,29708.781,4600.696,2852.719,2.01,1269.879,112.048,364.04,0,26250.986,KEF
866,NIC Asia Growth Fund,4/13/2021,0,1056637.798,926948.91,56188.888,0,0,0,20000,53500,0,443871.7,430127.389,13744.311,6465.259,1494044.239,2044.018,120.236,1491879.985,83520,17.8625,0,672172.349,250081.426,422090.923,15995.335,0,100.208,75,14690.623,864.154,265.35,656177.014,NICGF
867,NIC Asia Balanced Fund,4/13/2021,0,919613.177,681274.304,38503.873,0,96835,0,0,103000,0,335475.942,317648.433,17827.509,3712.709,1251376.41,1715.036,100.884,1249560.49,75500,16.5505,0,504669.99,211343.548,293326.442,13646.56,0,105.051,75,12467.171,733.363,265.975,491023.43,NICBF
868,NIC Asia Debt Fund,4/13/2021,0,188091.227,73010.926,2390.8,0,0,82689.501,0,30000,0,368846.214,358142.817,10703.397,2840.148,554097.293,798.803,46.988,553251.502,49840.531,11.1004,0,60928.571,43500.602,17427.969,5953.49,2045.522,58.984,57.727,3098.731,182.284,510.242,54975.081,NADDF
871,Laxmi Unnati Kosh,4/13/2021,0,647815.772,585568.225,612.547,0,0,36635,0,25000,0,280586.43,258773.824,21812.606,3925.925,924476.277,0,0,924476.277,65262.36,14.1655,0,283714.7,125439.429,158275.271,11856.768,3011.525,195.172,81.723,8410.568,157.78,0,271857.932,LUK
875,NIBL Sahabhagita Fund,4/13/2021,0,388515.804,286758.587,20260.217,0,24497,0,0,57000,0,155717.197,154063.191,1654.006,9894.696,534338.305,1689.392,120.549,532528.364,31109.151,17.1181,0,181193.148,109442.097,71751.051,4162.47,0,266.136,84.208,3567.25,244.876,0,177030.678,NIBLSF
876,Sunrise First Mutual Fund,4/13/2021,0,1171266.227,829461.736,51015.491,0,150789,0,0,140000,0,435009.453,428869.778,6139.675,6469.262,1599806.418,0,0,1599806.418,86000,18.6024,0,732506.195,414350.033,318156.162,16365.912,0,118.673,0,14868.574,1125,253.665,716140.283,SFMF
878,Nabil Balance Fund -2,4/13/2021,0,1726566.345,1440503.99,10460.521,0,0,213601.834,0,62000,0,112437.58,66230.466,46207.114,5078.467,1833925.458,2647.887,194.698,1831082.873,112000,16.349,0,706381.127,281544.081,424837.046,19936.568,0,91.16,85.992,18376.165,400,983.251,686444.559,NBF2
879,Sanima Equity Fund,4/13/2021,0,2232374.521,1873682.473,83463.048,0,0,75229,0,200000,0,396472.081,386960.701,9511.38,7111.244,2621735.358,3785.355,334.002,2617616.001,130000,20.1355,0,1255584.952,359959.028,895625.924,27130.33,0,108.506,87.575,24534.796,2164.835,234.618,1228454.622,SAEF
880,Sanima Large Cap Fund,4/13/2021,0,356505.871,261001.773,3346.098,0,0,12158,0,80000,0,882911.824,874946.392,7965.432,14006.33,1225411.365,1769.293,104.076,1223537.996,120000,10.1961,0,32943.045,5905.874,27037.171,9386.142,3171.872,108.057,47.511,3810.538,224.149,2024.015,23556.903,SLCF
882,Citizens Mutual Fund 1,4/13/2021,0,958355.238,834488.458,866.78,0,0,123000,0,0,0,266273.758,255094.908,11178.85,6491.647,1218137.349,4644.477,165.75,1213327.122,82000,14.7967,0,392287.549,145048.445,247239.104,13815.123,0,135.482,63.156,12901.47,585,130.015,378472.426,CMF1
883,Citizens Mutual Fund 2,4/13/2021,0,704758.419,619674.019,1084.4,0,0,84000,0,0,0,178638.884,175076.624,3562.26,333.061,883064.242,3227.903,82.875,879753.464,56000,15.7099,0,321392.579,119473.297,201919.282,9440.301,0,117.433,63.156,8843.251,292.5,123.961,311952.278,CMF2
905,Sunrise Bluechip Fund,4/13/2021,0,96766.629,60537.629,0,0,0,36229,0,0,0,1173291.333,1173188.532,102.801,24877.594,1245180.368,0,0,1245180.368,125000,9.9614,0,1198.203,393.904,804.299,6017.835,3790.831,125.074,0,1101.8,0,1000.13,-4819.632,SBCF
884,Siddhartha Investment Growth Scheme-2,5/14/2021,0,1521188.041,1324502.544,37749.653,0,38935.844,0,0,120000,0,539948.884,537313.873,2635.011,8611.935,2052524.99,2963.508,94.354,2049467.128,120000,17.0789,0,805139.525,391811.073,413328.452,25060.485,0,221.145,70.353,23638.696,930.291,200,780079.04,SIGS2
885,Siddhartha Equity Fund,5/14/2021,0,1908673.668,1611876.873,53804.795,0,62992,0,0,180000,0,620010.903,615697.59,4313.313,13014.523,2515670.048,3632.214,115.645,2511922.189,150000,16.7461,0,1000095.007,468856.784,531238.223,31009.808,0,216.438,70.353,29365.391,1157.626,200,969085.199,SEF
887,NMB 50,5/14/2021,0,1690732.654,1300829.704,51031.31,0,156371.64,0,0,182500,0,501536.628,472912.205,28624.423,513.914,2191755.368,3164.534,186.149,2188404.685,125000,17.5072,0,914428.168,475117.89,439310.277,26370.982,0,0,169.5,24425.159,1436.774,339.549,888057.186,NMB50
888,Kumari Equity Fund,5/14/2021,0,605308.935,407147.826,0,36424.109,0,11737,0,150000,0,432572.833,426499.542,6073.291,2037.173,1035844.595,1495.589,131.963,1034217.043,100000,10.3422,0,41636.729,32696.252,8940.477,7419.685,2872.719,157.486,0,2765.469,244.011,1380,34217.044,KEF
890,Nabil Balance Fund -2,5/14/2021,0,1686950.264,1396760.074,10770.115,0,0,217420.075,0,62000,0,152470.049,98245.235,54224.814,15554.467,1823865.846,2633.362,193.63,1821038.854,112000,16.2593,0,698922.18,311750.57,387171.61,22846.891,0,91.16,95.616,21009.527,593.63,1056.958,676075.289,NBF2
891,NIC Asia Growth Fund,5/14/2021,0,1071463.774,887392.834,28070.94,0,0,0,32500,123500,0,397619.796,395175.846,2443.95,1336.64,1467746.93,2119.2,124.659,1465503.071,83520,17.5467,0,647166.234,274868.163,372298.071,18257.671,0,110.208,83.333,16809.822,988.813,265.495,628908.563,NICGF
892,NIC Asia Balanced Fund,5/14/2021,0,900656.663,646538.136,21783.527,0,109335,0,0,123000,0,332132.797,325116.304,7016.493,657.032,1232132.428,1779.009,104.648,1230248.771,75500,16.2947,0,487396.34,230839.506,256556.834,15547.6553,0,114.051,83.3333,14246.18,838.011,266.08,471848.6847,NICBF
893,NIC Asia Debt Fund,5/14/2021,0,198625.902,72702.834,2157.45,0,0,93765.618,0,30000,0,360508.278,357152.7,3355.578,2475.708,556658.472,803.722,47.277,555807.473,49822.731,11.1557,0,65084.836,48201.26,16883.576,7324.761,2544.823,69.968,71.818,3898.341,229.314,510.497,57760.075,NADDF
896,NIBL Sahabhagita Fund,5/14/2021,0,406683.507,282470.759,20215.748,0,26997,0,0,77000,0,132047.629,119708.043,12339.586,5371.627,533359.509,656.836,54.359,532648.314,31257.511,17.0407,0,179551.61,119575.547,59976.063,4909.745,0,292.619,93.805,4224.086,299.235,0,174641.865,NIBLSF
898,Laxmi Unnati Kosh,5/14/2021,0,583157.139,520976.403,545.736,0,0,36635,0,25000,0,333647.997,330295.475,3352.522,406.385,916398.751,1236.096,0,915162.655,65262.36,14.0228,0,275695.759,151116.789,124578.97,13156.617,3011.525,221.059,92.148,9646.665,185.22,0,262539.142,LUK
900,Sanima Equity Fund,5/14/2021,0,2232492.815,1899985.601,37278.214,0,0,75229,0,220000,0,343458.835,324493.775,18965.06,2879.751,2573071.899,3715.093,327.802,2569029.004,130000,19.7618,0,1210838.843,389344.622,821494.221,31194.034,0,120.709,96.05,28249.888,2492.637,234.75,1179644.809,SAEF
901,Sanima Large Cap Fund,5/14/2021,0,573950.051,438662.551,3129.5,0,0,12158,0,120000,0,659748.141,655818.068,3930.073,7008.766,1226689.426,1771.138,104.185,1224814.103,120000,10.2068,0,36096.353,24302.587,11793.766,11282.25,3171.872,108.057,69.341,5581.676,328.334,2022.97,24814.103,SLCF
902,Citizens Mutual Fund 1,5/14/2021,0,946615.684,822966.584,649.1,0,0,123000,0,0,0,258181.922,243453.618,14728.304,5471.068,1199326.538,1183.946,55.25,1198087.342,82000,14.6108,0,378331.686,159028.311,219303.375,15099.04,0,148.445,70.354,14085.416,650,144.825,363232.646,CMF1
903,Citizens Mutual Fund 2,5/14/2021,0,686480.438,600041.238,2439.2,0,0,84000,0,0,0,178267.433,172830.661,5436.772,310.296,864437.575,808.549,27.625,863601.401,56000,15.4215,0,306229.568,133448.961,172780.607,10429.351,0,123.674,70.354,9766.868,325,143.455,295800.217,CMF2
904,Sunrise Bluechip Fund,5/14/2021,0,291182.033,151491.703,3461.33,0,0,36229,0,100000,0,982315.984,970290.429,12025.555,27933.159,1245564.858,1798.391,75,1243691.467,125000,9.9495,0,5066.034,413.082,4652.952,8874.568,3790.831,125.074,0,2900.191,75,1983.472,-3808.534,SBCF
906,Sunrise First Mutual Fund,5/14/2021,0,1077796.511,810778.664,6228.847,0,150789,0,0,110000,0,522004.506,511931.311,10073.195,109.069,1599691.948,2309.693,125,1597257.255,86000,18.5728,0,732391.781,463632.192,268759.589,18800.66,0,118.673,0,17178.267,1250,253.72,713591.121,SFMF
907,Siddhartha Investment Growth Scheme-2,6/14/2021,0,1893653.405,1710007.882,24709.679,0,38935.844,0,0,120000,0,307331.967,303137.657,4194.31,117.779,2200867.593,6136.784,188.787,2194542.022,120000,18.2879,0,953501.565,431573.064,521928.501,28347.631,0,233.384,77.551,26811.972,1024.724,200,925153.934,SIGS2
908,Siddhartha Equity Fund,6/14/2021,0,2434655.356,2162308.91,29354.446,0,62992,0,0,180000,0,258882.481,252264.044,6618.437,117.791,2693420.046,7515.658,231.212,2685673.176,150000,17.9045,0,1177864.448,512177.308,665687.14,35028.261,0,228.682,77.551,33248.835,1273.193,200,1142836.187,SEF
909,Kumari Equity Fund,6/14/2021,0,755120.746,562133.746,0,25000,0,17987,0,150000,0,335043.035,306564.314,28478.721,10595.433,1079568.348,3051.958,269.29,1076247.1,100000,10.7625,0,85373.158,49306.64,36066.518,9126.056,2872.719,170.161,0,4321.838,381.338,1380,76247.102,KEF
912,NIBL Sahabhagita Fund,6/14/2021,0,410508.407,271511.407,20000,0,36997,0,0,82000,0,150465.322,145126.822,5338.5,3355.409,557618.32,1342.671,111.117,556164.532,31350.236,17.7404,0,202234.231,134939.269,67294.962,5689.476,0,320.158,103.403,4909.921,355.994,0,196544.755,NIBLSF
913,NIC Asia Growth Fund,6/14/2021,0,1268397.144,1070511.939,41885.205,0,0,0,32500,123500,0,353673.002,323921.497,29751.505,3531.915,1618538.231,2336.903,137.465,1616063.863,83520,19.3494,0,800223.604,276620.203,523603.401,20754.25,0,124.074,91.667,19146.726,1126.278,265.505,779469.354,NICGF
914,NIC Asia Balanced Fund,6/14/2021,0,1061242.177,792519.89,36387.287,0,109335,0,0,123000,0,284014.23,234043.703,49970.527,2506.091,1342750.316,1938.711,114.042,1340697.563,75500,17.7576,0,599785.882,231864.124,367921.758,17625.378,0,130.677,91.667,16184.892,952.052,266.09,582160.504,NICBF
915,NIC Asia Debt Fund,6/14/2021,0,227773.07,96504.39,6301.631,0,0,94967.049,0,30000,0,343600.768,274686.059,68914.709,2134.255,569239.583,821.887,48.346,568369.35,49909.484,11.388,0,78065.932,49010.455,29055.477,8710.274,3044.124,81.969,85.909,4710.667,277.098,510.507,69355.658,NADDF
